throughput,	act,	await,	4.117089789286179,	0.011368637308626322
throughput,	entry,	Browse,	4.111204169103967,	0.017117427836693306
throughput,	entry,	e1,	4.1199324391193155,	0.020563434520352107
throughput,	entry,	e2,	4.109235289991599,	0.01204141618034248
response time,	entry,	Browse,	4.870825246208085,	0.02050165243750963
response time,	entry,	e1,	0.24314237458097027,	0.001211272514036986
response time,	entry,	e2,	0.11802007678511794,	9.048651719248153E-8
